time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
360,0,0,17,13,
361,0,0,8,22,
362,0,0,2,28,
363,0,0,0,30,
364,0,0,0,30,
365,0,0,0,30,
366,1,0,0,30,
367,2,0,0,30,
368,3,0,0,30,
369,4,0,0,30,
370,6,0,0,30,
371,6,0,0,30,
372,7,0,0,30,
373,8,0,0,30,
374,9,0,0,30,
375,10,0,0,30,
376,10,0,0,30,
377,10,0,0,30,
378,10,0,0,30,
379,11,0,0,30,
380,13,0,0,30,
381,14,0,0,30,
382,15,0,0,30,
383,17,0,0,30,
384,17,0,0,30,
385,17,0,0,30,
386,18,0,0,30,
387,20,0,0,30,
388,24,0,0,30,
389,25,0,0,30,
390,34,0,0,30,
391,37,0,0,30,
392,40,0,0,30,
393,41,0,0,30,
394,40,0,0,30,
395,40,0,0,30,
396,38,1,0,30,
397,38,2,0,30,
398,37,3,0,30,
399,37,4,0,30,
400,39,6,0,30,
401,40,6,0,30,
402,37,7,0,30,
403,37,8,0,30,
404,36,9,0,30,
405,38,10,0,30,
406,39,10,0,30,
407,40,10,0,30,
408,41,10,0,30,
409,40,11,0,30,
410,44,13,0,30,
411,44,14,0,30,
412,43,15,0,30,
413,40,17,0,30,
414,43,17,0,30,
415,44,17,0,30,
416,48,18,0,30,
417,48,20,0,30,
418,49,24,0,30,
419,52,25,0,30,
420,0,34,11,228,
421,1,34,3,236,
422,5,34,1,238,
423,12,34,0,238,
424,19,34,0,238,
425,25,34,0,238,
426,32,34,0,238,
427,36,34,0,238,
428,46,34,0,238,
429,52,34,0,238,
430,72,34,0,238,
431,80,34,0,238,
432,84,34,0,238,
433,87,34,0,238,
434,93,34,0,238,
435,98,34,0,238,
436,109,34,0,238,
437,120,34,0,238,
438,126,34,0,238,
439,133,34,0,238,
440,159,34,0,238,
441,172,34,0,238,
442,186,34,0,238,
443,198,34,0,238,
444,213,34,0,238,
445,219,34,0,238,
446,226,34,0,238,
447,231,34,0,238,
448,237,34,0,238,
449,244,34,0,238,
450,261,34,0,238,
451,267,35,0,238,
452,280,39,0,238,
453,279,46,0,238,
454,278,53,0,238,
455,282,59,0,238,
456,278,66,0,238,
457,279,70,0,238,
458,272,80,0,238,
459,276,86,0,238,
460,273,106,0,238,
461,271,114,0,238,
462,270,118,0,238,
463,266,121,0,238,
464,266,127,0,238,
465,270,132,0,238,
466,266,143,0,238,
467,254,154,0,238,
468,255,160,0,238,
469,256,167,0,237,
470,242,193,0,237,
471,232,206,0,237,
472,232,220,0,237,
473,219,232,0,237,
474,213,247,0,237,
475,210,253,0,237,
476,214,260,0,237,
477,214,265,0,236,
478,211,271,0,235,
479,208,278,0,235,
480,203,295,0,323,
481,192,302,0,323,
482,178,319,0,323,
483,175,325,0,323,
484,175,331,0,323,
485,164,341,0,323,
486,162,344,0,323,
487,158,349,0,323,
488,160,352,0,323,
489,148,362,0,323,
490,137,379,0,323,
491,134,385,0,323,
492,139,387,0,322,
493,141,387,0,322,
494,136,393,0,321,
495,129,402,0,321,
496,125,408,0,321,
497,131,408,0,321,
498,126,415,0,321,
499,117,423,0,321,
500,117,435,0,321,
501,116,438,0,321,
502,105,449,0,321,
503,107,451,0,321,
504,99,460,0,321,
505,100,463,0,321,
506,93,474,0,321,
507,98,478,0,321,
508,92,481,0,321,
509,85,486,0,321,
510,87,494,0,321,
511,92,494,0,321,
512,87,497,0,321,
513,83,500,0,321,
514,76,505,0,321,
515,75,505,0,321,
516,75,506,0,321,
517,74,507,0,321,
518,70,510,0,321,
519,70,510,0,321,
520,67,516,0,320,
521,68,519,0,320,
522,62,526,0,320,
523,60,528,0,320,
524,61,529,0,320,
525,55,531,0,320,
526,47,533,0,320,
527,42,539,0,320,
528,39,540,0,320,
529,39,540,0,320,
530,33,552,0,320,
531,33,554,0,320,
532,33,554,0,320,
533,32,558,0,320,
534,30,559,0,320,
535,23,563,0,320,
536,15,567,0,320,
537,9,571,0,320,
538,8,571,0,320,
539,13,571,0,320,
540,4,579,0,328,
541,3,579,0,328,
542,0,579,1,327,
543,0,579,3,325,
544,0,579,3,325,
545,0,579,3,325,
546,0,579,6,322,
547,0,579,5,323,
548,1,579,0,328,
549,3,579,0,328,
550,2,579,0,328,
551,4,579,0,328,
552,4,579,1,327,
553,7,579,1,327,
554,8,579,0,328,
555,7,579,0,328,
556,6,579,3,325,
557,9,579,2,326,
558,9,579,2,326,
559,10,579,1,327,
560,5,579,1,327,
561,8,579,4,324,
562,8,579,5,323,
563,9,579,4,324,
564,10,579,4,324,
565,11,579,6,322,
566,12,579,6,322,
567,14,579,5,323,
568,14,579,5,323,
569,11,579,7,321,
570,13,579,8,320,
571,14,579,6,322,
572,13,579,6,321,
573,11,579,5,322,
574,10,579,3,324,
575,11,579,3,324,
576,11,579,5,322,
577,10,579,4,323,
578,5,579,4,323,
579,2,581,4,323,
580,1,581,4,323,
581,2,582,4,323,
582,0,582,7,320,
583,0,582,7,320,
584,0,582,8,319,
585,0,582,9,318,
586,0,582,8,319,
587,0,582,6,321,
588,0,582,14,313,
589,0,582,15,312,
590,0,582,11,316,
591,0,582,15,312,
592,0,582,16,311,
593,0,582,19,308,
594,0,582,22,305,
595,0,582,23,304,
596,0,582,29,298,
597,0,582,35,292,
598,0,582,34,293,
599,0,582,30,297,
600,0,582,26,360,
601,0,582,25,361,
602,0,582,22,364,
603,0,582,18,368,
604,0,582,20,366,
605,0,582,21,365,
606,0,582,21,365,
607,0,582,18,368,
608,0,582,22,364,
609,0,582,25,361,
610,0,582,20,366,
611,0,582,19,367,
612,0,582,18,368,
613,0,582,17,369,
614,0,582,17,369,
615,0,582,19,367,
616,0,582,16,370,
617,0,582,19,367,
618,0,582,15,371,
619,0,582,14,372,
620,0,582,14,372,
621,0,582,14,372,
622,0,582,15,371,
623,0,582,15,371,
624,0,582,9,377,
625,0,582,7,379,
626,2,582,3,383,
627,3,582,1,385,
628,6,582,0,386,
629,2,582,2,384,
