scenario,realization,save_path,n,request_failure_pct,service_delay_pct,avg_wait_min,elapsed_min
C,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/C_r0/simulation_1,5931,3.136,7.798,12.244,34.2
BC,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BC_r0/simulation_1,5931,2.681,5.561,11.024,33.8
BC,4,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BC_r4/simulation_1,6011,4.458,4.91,11.116,33.9
BC,3,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BC_r3/simulation_1,6099,4.689,4.886,10.95,33.9
BC,1,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BC_r1/simulation_1,5993,3.754,5.548,11.314,34.1
BC,2,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BC_r2/simulation_1,6080,4.984,6.059,11.69,35.1
BC,5,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BC_r5/simulation_1,6061,4.141,5.904,11.438,36.2
BD,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign/simul_result/BD_r0/simulation_1,4575,9.158,8.614,14.001,23.3
Cs_C1i0,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i0_r0/simulation_2,5931,18.479,32.513,25.051,0.9
Cs_C2i0,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i0_r0/simulation_1,5931,6.609,17.44,17.309,1.1
base,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/base_r0_ctrl2/simulation_1,5931,24.279,36.785,26.696,1.0
Cs_C1i1,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r0/simulation_1,5931,18.479,32.513,25.051,0.8
Cs_C2i1,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i1_r0/simulation_1,5931,12.696,20.162,18.734,1.0
Cs_C2i2,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i2_r0/simulation_1,5931,9.155,19.395,18.279,1.1
Cs_C2i13,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i13_r0/simulation_1,5926,4.877,13.802,15.59,1.0
Cs_C2i10,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i10_r0/simulation_1,5931,6.862,17.053,17.216,1.0
Cs_C2i11,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i11_r0/simulation_1,5931,1.855,9.826,13.633,1.0
Cs_C2i15,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i15_r0/simulation_1,5931,9.037,16.793,17.643,1.0
Cs_C2i14,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i14_r0/simulation_1,5925,7.966,15.019,16.453,1.0
Cs_C2i21,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i21_r0/simulation_1,5931,2.276,10.421,13.904,1.1
Cs_C2i22,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r0/simulation_1,5931,1.079,10.278,13.746,1.1
